date,index,coverage,types,skus,baseline_date
2026-08-16,100.0,1.0,110,2096,2026-08-16
2026-08-17,100.1338,1.0,110,2033,2026-08-16
2026-08-18,100.4415,1.0,110,2015,2026-08-16
2026-08-19,100.821,1.0,108,1896,2026-08-16
2026-08-20,100.821,1.0,108,1896,2026-08-16
2026-08-21,100.888,1.0,108,1872,2026-08-16
2026-08-22,100.1981,1.0,109,1836,2026-08-16
2026-08-23,100.5458,1.0,109,1816,2026-08-16
2026-08-24,100.8032,1.0,109,1778,2026-08-16
2026-08-25,101.1495,1.0,109,1774,2026-08-16
2026-08-26,101.7006,1.0,109,1758,2026-08-16
2026-08-27,101.637,1.0,109,1743,2026-08-16
2026-08-28,100.7065,1.0,109,1756,2026-08-16
2026-08-29,101.0279,1.0,107,1656,2026-08-16
2026-08-30,101.4813,1.0,108,1672,2026-08-16
2026-08-31,101.8509,1.0,107,1661,2026-08-16
2026-09-01,102.4363,1.0,107,1653,2026-08-16
