date,group,type_id,type_label,slot_id,product_key,title,quantity,unit,price,unit_price,linked_unit_price,offer_count,raw_offer_count,source_count,source_ids,markets,source_mode,generation
2026-08-26,bread_cereals,bread_toast,Tost ekmeği,id:1Z1S,id:1Z1S,Ekmek Tost Süper 470 G Uno,0.47,kg,92.5,196.808511,204.255319,2,4,2,"[""depot:a101-6815"",""depot:sok-4707""]","[""a101"",""sok""]",pinned-relative,0
2026-08-26,bread_cereals,bread_toast,Tost ekmeği,id:1ZGC,id:1ZGC,Uno Büyük Tost Ekmeği 550 Gr,0.55,kg,82.5,150.0,150.0,1,3,1,"[""depot:carrefour-5254""]","[""carrefour""]",pinned-relative,0
2026-08-26,bread_cereals,bread_toast,Tost ekmeği,id:1Z60,id:1Z60,Untad Kepekli Tost Ekmeği 500 Gr,0.5,kg,99.0,198.0,198.0,1,3,1,"[""depot:carrefour-1012""]","[""carrefour""]",pinned-relative,0
2026-08-26,bread_cereals,bread_toast,Tost ekmeği,id:20E8,id:20E8,Untad Büyük Tost Ekmeği 670 Gr,0.67,kg,109.5,163.432836,160.635273,3,3,3,"[""depot:carrefour-5254"",""depot:migros-6679"",""depot:tarim_kredi-7488""]","[""carrefour"",""migros"",""tarim_kredi""]",pinned-relative,0
2026-08-26,bread_cereals,bread_toast,Tost ekmeği,id:1YJZ,id:1YJZ,Untad Light Tost Ekmeği 500 Gr,0.5,kg,118.0,236.0,236.0,1,3,1,"[""depot:carrefour-1012""]","[""carrefour""]",pinned-relative,0
2026-08-26,bread_cereals,bread_toast,Tost ekmeği,id:0ZYB,id:0ZYB,Nimet Tost Ekmeği 550 Gr,0.55,kg,47.0,85.454545,85.454545,1,1,1,"[""depot:a101-6815""]","[""a101""]",pinned-relative,0
2026-08-26,bread_cereals,bread_toast,Tost ekmeği,id:06A6,id:06A6,Tazepan Tost Ekmeği 500 Gr,0.5,kg,47.9,95.8,95.8,1,1,1,"[""depot:hakmar-5602""]","[""hakmar""]",pinned-relative,0
2026-08-26,bread_cereals,bread_toast,Tost ekmeği,id:1BZP,id:1BZP,Tazepan Tost Ekmeği 670 Gr,0.67,kg,55.0,82.089552,82.089552,1,1,1,"[""depot:tarim_kredi-7488""]","[""tarim_kredi""]",pinned-relative,0
2026-08-26,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:2157,id:2157,Uno Denge Tam Buğday Çiya Tohumlu Ekmek 400 Gr,0.4,kg,90.0,225.0,224.217389,2,3,2,"[""depot:carrefour-1012"",""depot:tarim_kredi-7488""]","[""carrefour"",""tarim_kredi""]",pinned-relative,0
2026-08-26,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:2CT7,id:2CT7,Uno Tam Buğdaylı & Chia Tohumlu Ekmek 400 Gr,0.4,kg,79.9,199.75,199.75,1,1,1,"[""depot:hakmar-5521""]","[""hakmar""]",pinned-relative,0
2026-08-26,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:1PB0,id:1PB0,Senzacrosta Tam Buğday Çavdarlı Ekmek 500 Gr,0.5,kg,235.0,470.0,470.0,1,1,1,"[""depot:carrefour-1012""]","[""carrefour""]",pinned-relative,0
2026-08-26,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:207S,id:207S,Untad Tam Buğday Ekmeği 400 Gr,0.4,kg,89.25,223.125,221.789596,2,3,2,"[""depot:carrefour-1012"",""depot:tarim_kredi-5022""]","[""carrefour"",""tarim_kredi""]",pinned-relative,0
2026-08-26,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:1ZT5,id:1ZT5,Uno Fırından Tam Buğday 450 Gr,0.45,kg,97.5,216.666667,216.666667,1,2,1,"[""depot:tarim_kredi-7488""]","[""tarim_kredi""]",pinned-relative,0
2026-08-26,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:1033,id:1033,Nimet Tam Buğday Ekmeği 350 Gr,0.35,kg,43.0,122.857143,122.857143,1,1,1,"[""depot:a101-6815""]","[""a101""]",pinned-relative,0
2026-08-26,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:03X4,id:03X4,Tam Buğday Ekmeği Çeşitleri 420 Gr,0.42,kg,37.5,89.285714,89.285714,1,1,1,"[""depot:hakmar-5200""]","[""hakmar""]",pinned-relative,0
2026-08-26,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:0V4F,id:0V4F,Uno Anadolu Tam Buğday Ekmeği 350 Gr,0.35,kg,40.0,114.285714,114.285714,1,1,1,"[""depot:sok-4711""]","[""sok""]",pinned-relative,0
2026-08-26,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:211O,id:211O,İHE Tam Buğday Ekmeği 400 Gr,0.4,kg,55.0,137.5,137.5,1,1,1,"[""depot:carrefour-5254""]","[""carrefour""]",pinned-relative,0
2026-08-26,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:06FE,id:06FE,Tazepan Tam Buğday Ekmeği 450 Gr,0.45,kg,79.9,177.555556,177.555556,1,1,1,"[""depot:hakmar-5521""]","[""hakmar""]",pinned-relative,0
2026-08-26,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:1071,id:1071,Uno Anadolu Tam Buğday Tava Ekmeği 450 Gr,0.45,kg,86.0,191.111111,191.111111,1,1,1,"[""depot:sok-4707""]","[""sok""]",pinned-relative,0
2026-08-26,bread_cereals,flour_wheat,Buğday unu,id:0Y3L,id:0Y3L,Söke Buğday Unu 1 Kg,1.0,kg,54.95,54.95,54.96429,2,2,2,"[""depot:carrefour-5254"",""depot:migros-1991""]","[""carrefour"",""migros""]",pinned-relative,0
2026-08-26,bread_cereals,flour_wheat,Buğday unu,id:1JDD,id:1JDD,Söke Tam Buğday Unu 1 Kg,1.0,kg,75.925,75.925,75.925,2,2,2,"[""depot:carrefour-1012"",""depot:migros-1991""]","[""carrefour"",""migros""]",pinned-relative,0
2026-08-26,bread_cereals,flour_wheat,Buğday unu,id:1NDD,id:1NDD,Sinangil Un 5 Kg,5.0,kg,174.065,34.813,34.813,2,2,2,"[""depot:carrefour-1012"",""depot:migros-3296""]","[""carrefour"",""migros""]",pinned-relative,0
2026-08-26,bread_cereals,flour_wheat,Buğday unu,id:0AKI,id:0AKI,Carrefour Buğday Unu 1 Kg,1.0,kg,35.0,35.0,35.0,1,1,1,"[""depot:carrefour-5254""]","[""carrefour""]",pinned-relative,0
