date,group,type_id,type_label,slot_id,product_key,title,quantity,unit,price,unit_price,linked_unit_price,offer_count,api_unit_price,unit_price_gap_pct,quantity_source,matched_category,category_level,raw_offer_count,source_count,source_ids,markets,source_mode,source_updated_at,generation,match_score,collected_at,source_observations,source_link
2026-09-15,bread_cereals,bread_white,Beyaz ekmek,id:1SZ0,id:12IZ,Sade Baget Ekmek 75 Gr,0.075,kg,19.95,266.0,216.666667,1,266.0,0.0,api-refined,Somun Ekmek,sub_category,1,1,"[""depot:migros-6679""]","[""migros""]",pinned-relative,15.09.2026 08:02,1,1.05,2026-09-15T20:41:33.665626+03:00,"[{""price"":19.95,""api_unit_price"":266.0,""source_id"":""depot:migros-6679"",""market"":""migros"",""depot_name"":""Mjet Kadıköy Rasımpaşa Istanbu"",""index_time"":""15.09.2026 08:02""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:migros-6679"":19.95},""previous_level"":19.95,""link_factor"":0.8145363421052632}"
2026-09-15,bread_cereals,bread_toast,Tost ekmeği,id:1Z1S,id:1Z1S,Uno Süper Tost Ekmeği 470 Gr,0.47,kg,92.5,196.808511,196.808511,3,196.80852,0.0,api-refined,Tost Ekmeği,sub_category,4,3,"[""depot:a101-6815"",""depot:carrefour-1012"",""depot:sok-4707""]","[""a101"",""carrefour"",""sok""]",pinned-relative,15.09.2026 08:08,0,1.05,2026-09-15T20:41:36.812299+03:00,"[{""price"":85.0,""api_unit_price"":180.85106,""source_id"":""depot:carrefour-1012"",""market"":""carrefour"",""depot_name"":""Istanbul Acıbadem Hıper"",""index_time"":""15.09.2026 08:08""},{""price"":92.5,""api_unit_price"":196.80852,""source_id"":""depot:sok-4707"",""market"":""sok"",""depot_name"":""Şok Minifevziçakmak"",""index_time"":""15.09.2026 08:08""},{""price"":92.5,""api_unit_price"":196.80852,""source_id"":""depot:a101-6815"",""market"":""a101"",""depot_name"":""Kostak Ümraniye"",""index_time"":""15.09.2026 08:08""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:a101-6815"":92.5,""depot:carrefour-1012"":85.0,""depot:sok-4707"":92.5},""previous_level"":92.5,""link_factor"":1.0}"
2026-09-15,bread_cereals,bread_toast,Tost ekmeği,id:20KG,id:0LNZ,İyilik Tost Ekmeği 670 Gr,0.67,kg,63.5,94.776119,132.521738,1,94.776115,0.0,api-refined,Tost Ekmeği,sub_category,1,1,"[""depot:migros-1991""]","[""migros""]",pinned-relative,15.09.2026 08:01,1,1.05,2026-09-15T20:41:36.812312+03:00,"[{""price"":63.5,""api_unit_price"":94.776115,""source_id"":""depot:migros-1991"",""market"":""migros"",""depot_name"":""Çiçekçi M Migros"",""index_time"":""15.09.2026 08:01""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:migros-1991"":63.5},""previous_level"":63.50000000000001,""link_factor"":1.3982608617835917}"
2026-09-15,bread_cereals,bread_toast,Tost ekmeği,id:1ZGC,id:1ZGC,Uno Büyük Tost Ekmeği 550 Gr,0.55,kg,81.2,147.636364,137.979932,2,147.63637,0.0,api-refined,Tost Ekmeği,sub_category,3,2,"[""depot:hakmar-5521"",""depot:migros-1991""]","[""hakmar"",""migros""]",pinned-relative,15.09.2026 08:07,0,1.05,2026-09-15T20:41:36.812316+03:00,"[{""price"":79.9,""api_unit_price"":145.27274,""source_id"":""depot:hakmar-5521"",""market"":""hakmar"",""depot_name"":""Ahmediye  Üsküdar"",""index_time"":""15.09.2026 08:07""},{""price"":82.5,""api_unit_price"":150.0,""source_id"":""depot:migros-1991"",""market"":""migros"",""depot_name"":""Çiçekçi M Migros"",""index_time"":""15.09.2026 08:07""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:hakmar-5521"":79.9,""depot:migros-1991"":82.5},""previous_level"":75.88896240814348,""link_factor"":1.0}"
2026-09-15,bread_cereals,bread_toast,Tost ekmeği,id:20E8,id:20E8,Untad Büyük Tost Ekmeği 670 Gr,0.67,kg,93.25,139.179104,149.719423,2,139.17911,0.0,api-refined,Tost Ekmeği,sub_category,3,2,"[""depot:carrefour-5254"",""depot:tarim_kredi-7488""]","[""carrefour"",""tarim_kredi""]",pinned-relative,15.09.2026 08:07,0,1.05,2026-09-15T20:41:36.812318+03:00,"[{""price"":87.5,""api_unit_price"":130.59702,""source_id"":""depot:tarim_kredi-7488"",""market"":""tarim_kredi"",""depot_name"":""Istanbul Kadıköy Kızıltoprak"",""index_time"":""15.09.2026 08:07""},{""price"":99.0,""api_unit_price"":147.7612,""source_id"":""depot:carrefour-5254"",""market"":""carrefour"",""depot_name"":""Istanbul Üsküdar Salacak Mını"",""index_time"":""15.09.2026 08:07""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:carrefour-5254"":99.0,""depot:tarim_kredi-7488"":87.5},""previous_level"":100.3120132386944,""link_factor"":1.0}"
2026-09-15,bread_cereals,bread_toast,Tost ekmeği,id:0ZDX,id:0ZDX,Uno Anadolu Tost Ekmeği 550 Gr,0.55,kg,49.5,90.0,90.0,1,90.0,0.0,api-refined,Tost Ekmeği,sub_category,1,1,"[""depot:sok-4707""]","[""sok""]",pinned-relative,15.09.2026 08:00,0,1.05,2026-09-15T20:41:36.812321+03:00,"[{""price"":49.5,""api_unit_price"":90.0,""source_id"":""depot:sok-4707"",""market"":""sok"",""depot_name"":""Şok Minifevziçakmak"",""index_time"":""15.09.2026 08:00""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:sok-4707"":49.5},""previous_level"":49.49999999999999,""link_factor"":1.0}"
2026-09-15,bread_cereals,bread_toast,Tost ekmeği,id:0ZYB,id:0ZYB,Nimet Tost Ekmeği 550 Gr,0.55,kg,50.5,91.818182,91.818182,1,91.818184,0.0,api-refined,Tost Ekmeği,sub_category,1,1,"[""depot:a101-6815""]","[""a101""]",pinned-relative,15.09.2026 08:02,0,1.05,2026-09-15T20:41:36.812323+03:00,"[{""price"":50.5,""api_unit_price"":91.818184,""source_id"":""depot:a101-6815"",""market"":""a101"",""depot_name"":""Kostak Ümraniye"",""index_time"":""15.09.2026 08:02""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:a101-6815"":50.5},""previous_level"":50.5,""link_factor"":1.0}"
2026-09-15,bread_cereals,bread_toast,Tost ekmeği,id:1BZP,id:1BZP,Tazepan Tost Ekmeği 670 Gr,0.67,kg,59.0,88.059701,88.059701,1,88.0597,0.0,api-refined,Tost Ekmeği,sub_category,1,1,"[""depot:tarim_kredi-7488""]","[""tarim_kredi""]",pinned-relative,15.09.2026 08:06,0,1.05,2026-09-15T20:41:36.812325+03:00,"[{""price"":59.0,""api_unit_price"":88.0597,""source_id"":""depot:tarim_kredi-7488"",""market"":""tarim_kredi"",""depot_name"":""Istanbul Kadıköy Kızıltoprak"",""index_time"":""15.09.2026 08:06""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:tarim_kredi-7488"":59.0},""previous_level"":59.0,""link_factor"":1.0}"
2026-09-15,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:2157,id:207S,Untad Tam Buğday Ekmeği 400 Gr,0.4,kg,99.0,247.5,224.217389,3,247.5,0.0,api-refined,Tam Buğday Ekmeği,sub_category,3,3,"[""depot:carrefour-1012"",""depot:migros-1991"",""depot:tarim_kredi-7488""]","[""carrefour"",""migros"",""tarim_kredi""]",pinned-relative,15.09.2026 08:07,1,1.0667,2026-09-15T20:41:38.602746+03:00,"[{""price"":99.0,""api_unit_price"":247.5,""source_id"":""depot:migros-1991"",""market"":""migros"",""depot_name"":""Çiçekçi M Migros"",""index_time"":""15.09.2026 08:07""},{""price"":99.0,""api_unit_price"":247.5,""source_id"":""depot:carrefour-1012"",""market"":""carrefour"",""depot_name"":""Istanbul Acıbadem Hıper"",""index_time"":""15.09.2026 08:07""},{""price"":99.0,""api_unit_price"":247.5,""source_id"":""depot:tarim_kredi-7488"",""market"":""tarim_kredi"",""depot_name"":""Istanbul Kadıköy Kızıltoprak"",""index_time"":""15.09.2026 08:07""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:carrefour-1012"":99.0,""depot:migros-1991"":99.0,""depot:tarim_kredi-7488"":99.0},""previous_level"":99.0,""link_factor"":0.9059288444444444}"
2026-09-15,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:20E9,id:20E9,Uno %100 Tam Buğday Tava Ekmeği 450 Gr,0.45,kg,90.0,200.0,216.666667,2,200.000005,0.0,api-refined,Tam Buğday Ekmeği,sub_category,3,2,"[""depot:carrefour-1012"",""depot:migros-1991""]","[""carrefour"",""migros""]",pinned-relative,15.09.2026 08:07,0,1.0667,2026-09-15T20:41:38.602759+03:00,"[{""price"":82.5,""api_unit_price"":183.33334,""source_id"":""depot:migros-1991"",""market"":""migros"",""depot_name"":""Çiçekçi M Migros"",""index_time"":""15.09.2026 08:07""},{""price"":97.5,""api_unit_price"":216.66667,""source_id"":""depot:carrefour-1012"",""market"":""carrefour"",""depot_name"":""Istanbul Acıbadem Hıper"",""index_time"":""15.09.2026 08:07""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:carrefour-1012"":97.5,""depot:migros-1991"":82.5},""previous_level"":97.5,""link_factor"":1.0}"
